Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
,21-X5543818,Person,Concordia,12/31/2020,1230,Assault Offenses,Aggravated Assault,,,1/1/2021,1
,21-X5543818,Property,Concordia,12/31/2020,1230,Larceny Offenses,All Other Larceny,,,1/1/2021,1
,21-X5543827,Person,Pearl,1/1/2021,0715,Assault Offenses,Simple Assault,,,1/1/2021,1
,21-X5543859,Person,Centennial,1/1/2021,2013,Assault Offenses,Aggravated Assault,,,1/1/2021,1
,21-X5543864,Person,Powellhurst-Gilbert,1/1/2021,0816,Assault Offenses,Simple Assault,,,1/1/2021,1
,21-X5543866,Person,Downtown,1/1/2021,0000,Assault Offenses,Simple Assault,,,1/1/2021,1
,21-X5543873,Person,King,1/1/2021,0110,Assault Offenses,Aggravated Assault,,,1/1/2021,1
,21-X5543879,Property,Hazelwood,1/1/2021,2101,Vandalism,Vandalism,,,1/1/2021,1
,21-X5544074,Person,Kerns,1/2/2021,1150,Assault Offenses,Simple Assault,,,1/2/2021,1
,21-X5544103,Person,Hazelwood,1/2/2021,2124,Assault Offenses,Simple Assault,,,1/2/2021,1
,21-X5544196,Person,Argay,1/2/2021,1445,Homicide Offenses,Negligent Manslaughter,,,1/2/2021,1
,21-X5544287,Person,Downtown,1/3/2021,0335,Kidnapping/Abduction,Kidnapping/Abduction,,,1/3/2021,1
,21-X5544326,Person,Lents,1/2/2021,1340,Assault Offenses,Simple Assault,,,1/2/2021,1
,21-X5544343,Person,Mt Tabor,1/3/2021,0830,Assault Offenses,Simple Assault,,,1/3/2021,1
,21-X5544402,Person,South Portland,1/3/2021,1525,Assault Offenses,Aggravated Assault,,,1/3/2021,1
,21-X5544425,Person,Hazelwood,1/3/2021,1724,Assault Offenses,Simple Assault,,,1/3/2021,1
,21-X5544467,Person,Mt Scott-Arleta,1/2/2021,2340,Assault Offenses,Simple Assault,,,1/2/2021,1
,21-X5544468,Person,Downtown,1/3/2021,0430,Assault Offenses,Simple Assault,,,1/3/2021,2
,21-X5544479,Person,Parkrose Heights,1/3/2021,0948,Assault Offenses,Simple Assault,,,1/3/2021,1
,21-X5544523,Person,Mt Tabor,1/3/2021,2225,Assault Offenses,Simple Assault,,,1/3/2021,1
,21-X5544526,Person,Mt Scott-Arleta,1/4/2021,0012,Assault Offenses,Simple Assault,,,1/4/2021,2
,21-X5544530,Person,South Tabor,1/3/2021,2323,Assault Offenses,Simple Assault,,,1/3/2021,2
,21-X5544538,Person,Powellhurst-Gilbert,1/4/2021,0300,Assault Offenses,Simple Assault,,,1/4/2021,2
,21-X5544618,Person,Centennial,1/3/2021,1205,Assault Offenses,Simple Assault,,,1/3/2021,1
,21-X5544764,Person,Pearl,1/4/2021,1300,Assault Offenses,Aggravated Assault,,,1/4/2021,1
,21-X5544812,Person,Centennial,1/4/2021,1913,Sex Offenses,Fondling,,,1/4/2021,1
,21-X5544829,Person,Glenfair,1/3/2021,1412,Assault Offenses,Aggravated Assault,,,1/3/2021,2
,21-X5544829,Person,Glenfair,1/3/2021,1412,Assault Offenses,Simple Assault,,,1/3/2021,3
,21-X5544829,Society,Glenfair,1/3/2021,1412,Weapon Law Violations,Weapons Law Violations,,,1/3/2021,1
,21-X5544843,Person,Russell,1/4/2021,1600,Assault Offenses,Aggravated Assault,,,1/4/2021,1
,21-X5544844,Person,Argay,1/4/2021,1900,Assault Offenses,Simple Assault,,,1/4/2021,1
,21-X5544845,Person,Parkrose,1/4/2021,1952,Assault Offenses,Simple Assault,,,1/4/2021,1
,21-X5544876,Person,Cully,1/5/2021,0101,Assault Offenses,Aggravated Assault,,,1/5/2021,1
,21-X5545014,Person,Centennial,1/5/2021,1300,Assault Offenses,Aggravated Assault,,,1/5/2021,1
,21-X5545058,Person,Brentwood-Darlington,1/4/2021,1625,Assault Offenses,Simple Assault,,,1/4/2021,1
,21-X5545124,Person,Glenfair,1/6/2021,0159,Assault Offenses,Simple Assault,,,1/6/2021,1
,21-X5545124,Property,Glenfair,1/6/2021,0159,Vandalism,Vandalism,,,1/6/2021,1
,21-X5545274,Person,Glenfair,1/6/2021,0520,Assault Offenses,Simple Assault,,,1/6/2021,1
,21-X5545275,Person,Brentwood-Darlington,1/5/2021,0300,Assault Offenses,Simple Assault,,,1/6/2021,1
,21-X5545276,Person,Glenfair,1/6/2021,1501,Assault Offenses,Simple Assault,,,1/6/2021,1
,21-X5545334,Person,Kenton,1/3/2021,0500,Assault Offenses,Simple Assault,,,1/6/2021,1
,21-X5545335,Person,Brentwood-Darlington,1/1/2021,0001,Assault Offenses,Simple Assault,,,1/6/2021,1
,21-X5545347,Person,Foster-Powell,1/6/2021,1755,Assault Offenses,Simple Assault,,,1/6/2021,1
,21-X5545348,Person,King,1/6/2021,2307,Assault Offenses,Simple Assault,,,1/6/2021,1
,21-X5545354,Person,Centennial,1/6/2021,2319,Assault Offenses,Simple Assault,,,1/6/2021,1
,21-X5545368,Society,Woodstock,1/6/2021,2215,Drug/Narcotic Offenses,Drug/Narcotic Violations,,,1/6/2021,1
,21-X5545368,Society,Woodstock,1/6/2021,2215,Weapon Law Violations,Weapons Law Violations,,,1/6/2021,1
,21-X5545378,Person,Montavilla,1/7/2021,0209,Assault Offenses,Simple Assault,,,1/7/2021,1
,21-X5545384,Person,Northwest,1/6/2021,2103,Assault Offenses,Simple Assault,,,1/6/2021,1
,21-X5545446,Person,Sullivan's Gulch,1/6/2021,1512,Sex Offenses,Rape,,,1/6/2021,1
,21-X5545446,Person,Sullivan's Gulch,1/6/2021,1512,Sex Offenses,Sodomy,,,1/6/2021,1
,21-X5545472,Person,Portsmouth,1/7/2021,1502,Assault Offenses,Aggravated Assault,,,1/7/2021,1
,21-X5545498,Person,Argay,1/7/2021,1004,Assault Offenses,Intimidation,,,1/7/2021,1
,21-X5545530,Person,Reed,1/7/2021,1731,Assault Offenses,Simple Assault,,,1/7/2021,1
,21-X5545535,Person,Richmond,1/7/2021,1621,Assault Offenses,Aggravated Assault,,,1/7/2021,1
,21-X5545546,Person,Pearl,1/7/2021,2011,Assault Offenses,Simple Assault,,,1/7/2021,1
,21-X5545554,Person,Foster-Powell,1/7/2021,2209,Assault Offenses,Aggravated Assault,,,1/7/2021,1
,21-X5545562,Person,Creston-Kenilworth,1/8/2021,0100,Assault Offenses,Aggravated Assault,,,1/8/2021,1
,21-X5545565,Property,Centennial,1/7/2021,1926,Burglary,Burglary,,,1/7/2021,1
,21-X5545565,Property,Centennial,1/7/2021,1926,Vandalism,Vandalism,,,1/7/2021,1
,21-X5545797,Person,Cully,1/8/2021,0457,Assault Offenses,Simple Assault,,,1/8/2021,1
,21-X5545838,Property,Richmond,1/8/2021,0744,Robbery,Robbery,,,1/8/2021,1
,21-X5545901,Person,Centennial,1/8/2021,2215,Assault Offenses,Simple Assault,,,1/8/2021,1
,21-X5545931,Person,Lents,1/9/2021,0006,Assault Offenses,Simple Assault,,,1/9/2021,1
,21-X5545948,Person,Reed,1/8/2021,2211,Assault Offenses,Simple Assault,,,1/8/2021,1
,21-X5546170,Person,South Tabor,1/9/2021,2048,Assault Offenses,Aggravated Assault,,,1/9/2021,1
,21-X5546170,Property,South Tabor,1/9/2021,2048,Vandalism,Vandalism,,,1/9/2021,1
,21-X5546179,Person,Centennial,1/9/2021,2121,Assault Offenses,Simple Assault,,,1/9/2021,1
,21-X5546181,Person,Lents,1/9/2021,2124,Assault Offenses,Aggravated Assault,,,1/9/2021,1
,21-X5546182,Person,Lents,1/9/2021,2025,Assault Offenses,Simple Assault,,,1/9/2021,1
,21-X5546183,Person,South Portland,1/9/2021,2149,Assault Offenses,Aggravated Assault,,,1/9/2021,1
,21-X5546215,Property,Buckman East,1/9/2021,1205,Burglary,Burglary,,,1/9/2021,1
,21-X5546239,Person,Pleasant Valley,1/9/2021,2133,Assault Offenses,Simple Assault,,,1/9/2021,1
,21-X5546255,Person,King,12/25/2020,1000,Sex Offenses,Fondling,,,1/1/2021,2
,21-X5546392,Person,Montavilla,1/10/2021,0337,Assault Offenses,Aggravated Assault,,,1/10/2021,1
,21-X5546407,Person,,1/9/2021,1830,Assault Offenses,Simple Assault,,,1/10/2021,1
,21-X5546486,Person,Mt Scott-Arleta,1/10/2021,0616,Assault Offenses,Simple Assault,,,1/10/2021,1
,21-X5546487,Person,Glenfair,1/10/2021,1348,Assault Offenses,Simple Assault,,,1/10/2021,1
,21-X5546494,Property,Old Town/Chinatown,1/10/2021,1101,Vandalism,Vandalism,,,1/10/2021,1
,21-X5546504,Property,Centennial,1/10/2021,1832,Vandalism,Vandalism,,,1/10/2021,1
,21-X5546505,Person,Montavilla,1/10/2021,1734,Assault Offenses,Aggravated Assault,,,1/10/2021,1
,21-X5546507,Person,Sunnyside,1/10/2021,1735,Assault Offenses,Intimidation,,,1/10/2021,1
,21-X5546509,Person,King,1/5/2021,2106,Assault Offenses,Intimidation,,,1/6/2021,1
,21-X5546512,Person,Concordia,1/5/2021,2151,Assault Offenses,Simple Assault,,,1/5/2021,1
,21-X5546513,Person,Woodlawn,1/6/2021,2335,Assault Offenses,Simple Assault,,,1/6/2021,1
,21-X5546537,Person,Piedmont,1/10/2021,2206,Assault Offenses,Simple Assault,,,1/10/2021,1
,21-X5546557,Person,Powellhurst-Gilbert,1/9/2021,1304,Assault Offenses,Simple Assault,,,1/9/2021,1
,21-X5546564,Person,Cully,1/9/2021,2053,Assault Offenses,Aggravated Assault,,,1/10/2021,1
,21-X5546581,Person,Downtown,1/10/2021,1326,Assault Offenses,Simple Assault,,,1/10/2021,1
,21-X5546585,Person,Lents,1/10/2021,1432,Sex Offenses,Fondling,,,1/10/2021,1
,21-X5546591,Person,Lents,1/11/2021,0317,Assault Offenses,Simple Assault,,,1/11/2021,1
,21-X5546618,Person,Parkrose,1/10/2021,2329,Assault Offenses,Aggravated Assault,,,1/10/2021,1
,21-X5546661,Person,Eliot,1/10/2021,2333,Assault Offenses,Aggravated Assault,,,1/11/2021,1
,21-X5546813,Person,Powellhurst-Gilbert,1/11/2021,1007,Assault Offenses,Aggravated Assault,,,1/11/2021,1
,21-X5546877,Person,Lents,1/11/2021,0127,Assault Offenses,Simple Assault,,,1/11/2021,1
,21-X5546878,Person,Madison South,1/11/2021,0300,Assault Offenses,Simple Assault,,,1/11/2021,2
,21-X5546879,Person,Lents,10/19/2020,2000,Sex Offenses,Rape,,,1/11/2021,1
,21-X5546889,Person,Powellhurst-Gilbert,1/7/2021,2011,Assault Offenses,Aggravated Assault,,,1/7/2021,1
,21-X5546892,Person,Centennial,1/11/2021,1239,Assault Offenses,Aggravated Assault,,,1/11/2021,1
,21-X5546901,Person,Cully,1/11/2021,1302,Assault Offenses,Aggravated Assault,,,1/11/2021,1
,21-X5546902,Person,Powellhurst-Gilbert,1/11/2021,1354,Assault Offenses,Aggravated Assault,,,1/11/2021,2
,21-X5546939,Person,Parkrose,1/8/2021,1938,Assault Offenses,Simple Assault,,,1/8/2021,1
,21-X5546942,Person,Lents,1/8/2021,1934,Assault Offenses,Simple Assault,,,1/8/2021,1
,21-X5546945,Person,Centennial,1/5/2021,1531,Assault Offenses,Simple Assault,,,1/5/2021,1
,21-X5546950,Person,Hazelwood,1/7/2021,2353,Assault Offenses,Simple Assault,,,1/8/2021,1
,21-X5546976,Person,Downtown,1/12/2021,0102,Assault Offenses,Aggravated Assault,,,1/12/2021,1
,21-X5546979,Property,Creston-Kenilworth,1/1/2021,1924,Robbery,Robbery,,,1/1/2021,1
,21-X5547019,Person,Argay,1/12/2021,0043,Assault Offenses,Simple Assault,,,1/12/2021,1
,21-X5547046,Person,,12/25/2020,0000,Sex Offenses,Sexual Assault With An Object,,,1/5/2021,1
,21-X5547065,Person,Humboldt,12/8/2020,1200,Assault Offenses,Aggravated Assault,,,1/12/2021,1
,21-X5547065,Property,Humboldt,12/8/2020,1200,Vandalism,Vandalism,,,1/12/2021,1
,21-X5547084,Person,Hazelwood,9/1/2020,0000,Sex Offenses,Rape,,,1/12/2021,1
,21-X5547108,Person,Hillsdale,1/12/2021,0830,Assault Offenses,Simple Assault,,,1/12/2021,1
,21-X5547170,Person,Portsmouth,1/12/2021,1730,Assault Offenses,Aggravated Assault,,,1/12/2021,1
,21-X5547186,Person,Cully,1/12/2021,2245,Assault Offenses,Simple Assault,,,1/12/2021,1
,21-X5547187,Person,Cully,1/13/2021,0151,Assault Offenses,Simple Assault,,,1/13/2021,1
,21-X5547333,Person,Parkrose,1/12/2021,0548,Homicide Offenses,Murder and Non-negligent Manslaughter,,,1/12/2021,1
,21-X5547403,Person,Concordia,1/13/2021,1032,Assault Offenses,Simple Assault,,,1/13/2021,2
,21-X5547419,Person,Hazelwood,1/13/2021,1018,Assault Offenses,Aggravated Assault,,,1/13/2021,1
,21-X5547419,Person,Hazelwood,1/13/2021,1018,Kidnapping/Abduction,Kidnapping/Abduction,,,1/13/2021,1
,21-X5547427,Property,Cathedral Park,1/13/2021,1243,Larceny Offenses,Theft From Motor Vehicle,,,1/13/2021,1
,21-X5547430,Person,,1/8/2021,1209,Sex Offenses,Sodomy,,,1/8/2021,1
,21-X5547430,Society,,1/8/2021,1209,Pornography/Obscene Material,Pornography/Obscene Material,,,1/8/2021,1
,21-X5547461,Property,Hazelwood,1/13/2021,1544,Larceny Offenses,All Other Larceny,,,1/13/2021,1
,21-X5547496,Person,St Johns,1/13/2021,2126,Assault Offenses,Simple Assault,,,1/13/2021,1
,21-X5547504,Person,Beaumont-Wilshire,1/14/2021,0127,Assault Offenses,Simple Assault,,,1/14/2021,1
,21-X5547506,Person,Mt Tabor,1/14/2021,0203,Assault Offenses,Simple Assault,,,1/14/2021,1
,21-X5547528,Person,Cully,1/14/2021,0353,Assault Offenses,Simple Assault,,,1/14/2021,1
,21-X5547608,Person,Hazelwood,1/13/2021,2156,Kidnapping/Abduction,Kidnapping/Abduction,,,1/13/2021,1
,21-X5547633,Person,Foster-Powell,12/25/2020,0000,Sex Offenses,Rape,,,1/3/2021,1
,21-X5547672,Person,Hayden Island,1/14/2021,0625,Assault Offenses,Simple Assault,,,1/14/2021,1
,21-X5547702,Person,Homestead,1/1/2021,0600,Sex Offenses,Sodomy,,,1/1/2021,1
,21-X5547702,Property,Homestead,1/1/2021,0600,Burglary,Burglary,,,1/1/2021,1
,21-X5547733,Person,Lents,1/13/2021,1044,Assault Offenses,Simple Assault,,,1/13/2021,1
,21-X5547825,Person,Kenton,1/14/2021,1921,Assault Offenses,Simple Assault,,,1/14/2021,1
,21-X5547839,Person,Centennial,1/14/2021,2126,Assault Offenses,Simple Assault,,,1/14/2021,1
,21-X5547842,Person,Piedmont,1/9/2021,2100,Assault Offenses,Aggravated Assault,,,1/14/2021,1
,21-X5547865,Property,Arbor Lodge,1/14/2021,2113,Burglary,Burglary,,,1/14/2021,1
,21-X5547882,Person,Lents,1/14/2021,1741,Assault Offenses,Simple Assault,,,1/14/2021,2
,21-X5547890,Person,Lents,1/14/2021,1930,Assault Offenses,Simple Assault,,,1/14/2021,1
,21-X5547944,Person,Cully,11/20/2020,2145,Kidnapping/Abduction,Kidnapping/Abduction,,,1/15/2021,1
,21-X5547944,Person,Cully,11/20/2020,2145,Sex Offenses,Rape,,,1/15/2021,1
,21-X5548004,Person,Hazelwood,1/15/2021,0953,Assault Offenses,Aggravated Assault,,,1/15/2021,1
,21-X5548013,Person,Lents,1/15/2021,0900,Assault Offenses,Simple Assault,,,1/15/2021,1
,21-X5548044,Person,Beaumont-Wilshire,1/5/2021,1200,Assault Offenses,Simple Assault,,,1/15/2021,1
,21-X5548046,Person,Hazelwood,1/15/2021,1200,Assault Offenses,Simple Assault,,,1/15/2021,1
,21-X5548060,Person,East Columbia,1/15/2021,1237,Assault Offenses,Aggravated Assault,,,1/15/2021,1
,21-X5548069,Person,,1/1/2021,2032,Sex Offenses,Rape,,,1/1/2021,1
,21-X5548071,Person,Northwest,1/1/2021,2229,Sex Offenses,Rape,,,1/1/2021,1
,21-X5548109,Person,Cully,1/13/2021,2015,Assault Offenses,Simple Assault,,,1/13/2021,1
,21-X5548119,Person,Lloyd,1/15/2021,1250,Assault Offenses,Simple Assault,,,1/15/2021,1
,21-X5548123,Person,Pearl,1/15/2021,1617,Assault Offenses,Simple Assault,,,1/15/2021,2
,21-X5548133,Person,Rose City Park,1/15/2021,2025,Assault Offenses,Aggravated Assault,,,1/15/2021,1
,21-X5548137,Person,Mill Park,1/6/2021,1852,Assault Offenses,Simple Assault,,,1/6/2021,2
,21-X5548160,Person,Hayhurst,1/15/2021,2311,Assault Offenses,Aggravated Assault,,,1/16/2021,1
,21-X5548225,Person,Powellhurst-Gilbert,1/16/2021,0449,Assault Offenses,Simple Assault,,,1/16/2021,1
,21-X5548227,Person,Arbor Lodge,1/16/2021,0639,Assault Offenses,Aggravated Assault,,,1/16/2021,1
,21-X5548256,Person,Creston-Kenilworth,1/16/2021,1303,Assault Offenses,Simple Assault,,,1/16/2021,1
,21-X5548337,Person,Sunnyside,1/16/2021,2145,Assault Offenses,Aggravated Assault,,,1/16/2021,1
,21-X5548342,Person,Glenfair,1/16/2021,2028,Assault Offenses,Simple Assault,,,1/16/2021,1
,21-X5548459,Person,Argay,1/17/2021,0350,Assault Offenses,Simple Assault,,,1/17/2021,1
,21-X5548459,Society,Argay,1/17/2021,0350,Animal Cruelty Offenses,Animal Cruelty,,,1/17/2021,1
,21-X5548526,Person,Northwest,1/2/2021,1354,Assault Offenses,Simple Assault,,,1/2/2021,1
,21-X5548527,Person,Eliot,1/17/2021,0000,Assault Offenses,Aggravated Assault,,,1/17/2021,1
,21-X5548537,Person,,1/16/2021,0430,Assault Offenses,Simple Assault,,,1/16/2021,1
,21-X5548546,Person,Kenton,1/17/2021,0850,Assault Offenses,Simple Assault,,,1/17/2021,1
,21-X5548561,Person,Hazelwood,1/17/2021,0900,Kidnapping/Abduction,Kidnapping/Abduction,,,1/17/2021,1
,21-X5548561,Person,Hazelwood,1/17/2021,0900,Sex Offenses,Rape,,,1/17/2021,1
,21-X5548561,Property,Hazelwood,1/17/2021,0900,Robbery,Robbery,,,1/17/2021,1
,21-X5548610,Person,,1/16/2021,2055,Assault Offenses,Simple Assault,,,1/16/2021,1
,21-X5548612,Person,Montavilla,1/12/2021,0000,Assault Offenses,Simple Assault,,,1/17/2021,1
,21-X5548612,Person,Montavilla,1/12/2021,0000,Kidnapping/Abduction,Kidnapping/Abduction,,,1/17/2021,1
,21-X5548615,Person,Wilkes,1/17/2021,1450,Assault Offenses,Simple Assault,,,1/17/2021,1
,21-X5548619,Person,Lents,1/17/2021,1536,Assault Offenses,Simple Assault,,,1/17/2021,1
,21-X5548631,Person,Kenton,1/17/2021,1530,Assault Offenses,Simple Assault,,,1/17/2021,1
,21-X5548632,Person,Northwest,1/16/2021,1310,Assault Offenses,Simple Assault,,,1/16/2021,1
,21-X5548639,Person,South Tabor,1/14/2021,1000,Assault Offenses,Intimidation,,,1/14/2021,1
,21-X5548640,Person,Eliot,1/17/2021,1849,Assault Offenses,Aggravated Assault,,,1/17/2021,1
,21-X5548640,Person,Eliot,1/17/2021,1849,Kidnapping/Abduction,Kidnapping/Abduction,,,1/17/2021,1
,21-X5548675,Person,Powellhurst-Gilbert,1/17/2021,1943,Homicide Offenses,Murder and Non-negligent Manslaughter,,,1/17/2021,1
,21-X5548698,Person,Richmond,1/18/2021,0112,Assault Offenses,Simple Assault,,,1/18/2021,1
,21-X5548702,Person,Lloyd,1/17/2021,0154,Assault Offenses,Aggravated Assault,,,1/17/2021,1
,21-X5548715,Person,Northwest,1/18/2021,0022,Assault Offenses,Aggravated Assault,,,1/18/2021,1
,21-X5548819,Person,Kenton,1/18/2021,0940,Assault Offenses,Simple Assault,,,1/18/2021,1
,21-X5548819,Property,Kenton,1/18/2021,0940,Arson,Arson,,,1/18/2021,1
,21-X5548824,Person,Russell,1/17/2021,1339,Sex Offenses,Rape,,,1/17/2021,1
,21-X5548825,Person,Centennial,1/17/2021,0300,Homicide Offenses,Murder and Non-negligent Manslaughter,,,1/17/2021,2
,21-X5548864,Person,Boise,1/18/2021,0100,Assault Offenses,Simple Assault,,,1/18/2021,1
,21-X5548872,Person,Downtown,1/17/2021,2012,Assault Offenses,Intimidation,,,1/17/2021,1
,21-X5548958,Person,South Tabor,1/18/2021,0130,Assault Offenses,Aggravated Assault,,,1/18/2021,1
,21-X5548969,Person,Lents,1/18/2021,1930,Assault Offenses,Simple Assault,,,1/18/2021,2
,21-X5548974,Person,Old Town/Chinatown,1/18/2021,1936,Assault Offenses,Simple Assault,,,1/18/2021,1
,21-X5548996,Person,Centennial,1/18/2021,2145,Assault Offenses,Simple Assault,,,1/18/2021,2
,21-X5549117,Person,,1/18/2021,0500,Assault Offenses,Simple Assault,,,1/18/2021,1
,21-X5549171,Person,Northwest,1/19/2021,0835,Assault Offenses,Aggravated Assault,,,1/19/2021,1
,21-X5549184,Person,,1/16/2021,0130,Assault Offenses,Simple Assault,,,1/16/2021,1
,21-X5549213,Person,Powellhurst-Gilbert,1/15/2021,0033,Assault Offenses,Aggravated Assault,,,1/15/2021,5
,21-X5549213,Property,Powellhurst-Gilbert,1/15/2021,0033,Vandalism,Vandalism,,,1/15/2021,1
,21-X5549221,Person,,1/14/2021,0900,Sex Offenses,Rape,,,1/16/2021,1
,21-X5549249,Person,Old Town/Chinatown,1/19/2021,0937,Assault Offenses,Aggravated Assault,,,1/19/2021,1
,21-X5549249,Property,Old Town/Chinatown,1/19/2021,0937,Burglary,Burglary,,,1/19/2021,1
,21-X5549251,Person,West Portland Park,1/19/2021,1407,Assault Offenses,Intimidation,,,1/19/2021,1
,21-X5549251,Property,West Portland Park,1/19/2021,1407,Vandalism,Vandalism,,,1/19/2021,1
,21-X5549255,Person,Buckman West,1/19/2021,1920,Assault Offenses,Simple Assault,,,1/19/2021,1
,21-X5549261,Person,Portsmouth,1/19/2021,1743,Assault Offenses,Aggravated Assault,,,1/19/2021,1
,21-X5549286,Property,Hazelwood,1/17/2021,2100,Arson,Arson,,,1/17/2021,1
,21-X5549305,Person,Hazelwood,1/16/2021,2151,Kidnapping/Abduction,Kidnapping/Abduction,,,1/16/2021,1
,21-X5549387,Person,King,1/20/2021,1312,Assault Offenses,Aggravated Assault,,,1/20/2021,1
,21-X5549433,Person,Lloyd,1/16/2021,0030,Sex Offenses,Rape,,,1/16/2021,1
,21-X5549498,Person,Powellhurst-Gilbert,1/20/2021,2057,Assault Offenses,Simple Assault,,,1/20/2021,2
,21-X5549499,Person,Montavilla,1/20/2021,2241,Assault Offenses,Aggravated Assault,,,1/20/2021,1
,21-X5549501,Person,Lents,1/20/2021,0557,Assault Offenses,Aggravated Assault,,,1/20/2021,1
,21-X5549553,Person,University Park,4/4/2019,0000,Sex Offenses,Rape,,,1/14/2021,1
,21-X5549553,Person,University Park,4/4/2019,0000,Sex Offenses,Sodomy,,,1/14/2021,1
,21-X5549555,Person,Montavilla,1/11/2021,2130,Sex Offenses,Rape,,,1/15/2021,1
,21-X5549557,Person,Goose Hollow,1/20/2021,2048,Assault Offenses,Simple Assault,,,1/20/2021,2
,21-X5549565,Person,Argay,1/15/2021,2030,Sex Offenses,Rape,,,1/16/2021,1
,21-X5549655,Person,Mill Park,1/21/2021,0900,Assault Offenses,Simple Assault,,,1/21/2021,1
,21-X5549657,Person,Richmond,1/19/2021,1630,Assault Offenses,Aggravated Assault,,,1/21/2021,1
,21-X5549684,Person,Forest Park,1/21/2021,1906,Assault Offenses,Simple Assault,,,1/21/2021,1
,21-X5549688,Person,Parkrose Heights,1/21/2021,1834,Assault Offenses,Simple Assault,,,1/21/2021,1
,21-X5549711,Person,Cathedral Park,1/21/2021,2149,Assault Offenses,Simple Assault,,,1/21/2021,1
,21-X5549715,Person,Boise,1/21/2021,2247,Assault Offenses,Simple Assault,,,1/21/2021,1
,21-X5549749,Person,,12/31/2020,2300,Sex Offenses,Sodomy,,,1/20/2021,1
,21-X5549796,Person,Centennial,1/22/2021,0926,Assault Offenses,Simple Assault,,,1/22/2021,1
,21-X5549823,Person,Multnomah,9/1/2020,0800,Sex Offenses,Fondling,,,1/21/2021,1
,21-X5549848,Person,Buckman West,1/13/2021,0150,Sex Offenses,Sodomy,,,1/13/2021,1
,21-X5549872,Person,Arbor Lodge,1/22/2021,1642,Assault Offenses,Intimidation,,,1/22/2021,1
,21-X5549877,Person,Powellhurst-Gilbert,1/22/2021,2114,Assault Offenses,Simple Assault,,,1/22/2021,1
,21-X5549918,Person,Downtown,1/22/2021,2231,Assault Offenses,Simple Assault,,,1/22/2021,1
,21-X5550040,Property,Brentwood-Darlington,1/21/2021,0400,Motor Vehicle Theft,Motor Vehicle Theft,,,1/23/2021,1
,21-X5550041,Person,King,1/23/2021,0244,Assault Offenses,Simple Assault,,,1/23/2021,2
,21-X5550046,Person,St Johns,1/23/2021,1147,Assault Offenses,Aggravated Assault,,,1/23/2021,1
,21-X5550047,Person,Lloyd,1/23/2021,1415,Assault Offenses,Simple Assault,,,1/23/2021,1
,21-X5550047,Property,Lloyd,1/23/2021,1415,Larceny Offenses,Theft From Motor Vehicle,,,1/23/2021,1
,21-X5550215,Person,Portsmouth,1/24/2021,0126,Assault Offenses,Simple Assault,,,1/24/2021,1
,21-X5550219,Person,Hazelwood,1/24/2021,0227,Assault Offenses,Simple Assault,,,1/24/2021,1
,21-X5550226,Person,Kerns,1/24/2021,0210,Assault Offenses,Simple Assault,,,1/24/2021,1
,21-X5550227,Person,Humboldt,1/24/2021,1115,Assault Offenses,Simple Assault,,,1/24/2021,1
,21-X5550253,Person,Powellhurst-Gilbert,1/24/2021,0000,Assault Offenses,Simple Assault,,,1/24/2021,1
,21-X5550285,Person,Boise,1/23/2021,2002,Assault Offenses,Simple Assault,,,1/23/2021,1
,21-X5550298,Person,,1/23/2021,2200,Assault Offenses,Aggravated Assault,,,1/24/2021,1
,21-X5550303,Person,Parkrose,1/24/2021,0800,Assault Offenses,Intimidation,,,1/24/2021,1
,21-X5550307,Person,Powellhurst-Gilbert,1/23/2021,0200,Assault Offenses,Simple Assault,,,1/24/2021,1
,21-X5550309,Person,Hazelwood,1/24/2021,1703,Assault Offenses,Aggravated Assault,,,1/24/2021,1
,21-X5550320,Person,Pearl,1/22/2021,2315,Assault Offenses,Simple Assault,,,1/22/2021,1
,21-X5550338,Person,Centennial,1/24/2021,2128,Assault Offenses,Simple Assault,,,1/24/2021,1
,21-X5550352,Person,Centennial,1/24/2021,2230,Assault Offenses,Simple Assault,,,1/24/2021,1
,21-X5550354,Person,Wilkes,1/24/2021,2251,Assault Offenses,Simple Assault,,,1/24/2021,2
,21-X5550374,Person,Montavilla,1/18/2021,1311,Assault Offenses,Simple Assault,,,1/18/2021,2
,21-X5550378,Person,Argay,12/22/2020,1200,Sex Offenses,Fondling,,,1/7/2021,1
,21-X5550392,Person,Centennial,1/19/2021,2309,Assault Offenses,Simple Assault,,,1/19/2021,2
,21-X5550449,Person,Humboldt,1/16/2021,0715,Assault Offenses,Simple Assault,,,1/16/2021,1
,21-X5550461,Society,Vernon,5/1/2020,0000,Pornography/Obscene Material,Pornography/Obscene Material,,,1/16/2021,1
,21-X5550490,Person,Centennial,1/25/2021,0300,Assault Offenses,Simple Assault,,,1/25/2021,1
,21-X5550493,Person,Humboldt,1/24/2021,2100,Assault Offenses,Aggravated Assault,,,1/25/2021,1
,21-X5550493,Property,Humboldt,1/24/2021,2100,Burglary,Burglary,,,1/25/2021,1
,21-X5550518,Person,Buckman East,1/25/2021,1306,Assault Offenses,Aggravated Assault,,,1/25/2021,12
,21-X5550518,Person,Buckman East,1/25/2021,1306,Assault Offenses,Simple Assault,,,1/25/2021,1
