Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
600 BLOCK OF E BURNSIDE ST,21-21027,Property,Buckman West,1/23/2021,1236,Vandalism,Vandalism,45.522880480,-122.658933782,1/23/2021,1
600 BLOCK OF N ALBERTA ST,21-904744,Property,Humboldt,2/26/2021,0945,Fraud Offenses,Identity Theft,45.558973436,-122.673476729,3/11/2021,1
600 BLOCK OF N COLUMBIA BLVD,21-43246,Property,Piedmont,2/16/2021,2100,Larceny Offenses,Theft From Motor Vehicle,45.583672620,-122.672840795,2/17/2021,1
600 BLOCK OF N COLUMBIA BLVD,21-903685,Property,Piedmont,2/24/2021,1315,Larceny Offenses,Theft From Motor Vehicle,45.583757980,-122.672824529,2/24/2021,1
600 BLOCK OF N HAYDEN BAY DR,21-54069,Property,Hayden Island,2/27/2021,1800,Motor Vehicle Theft,Motor Vehicle Theft,45.609786403,-122.673560250,2/28/2021,1
600 BLOCK OF N HAYDEN BAY DR,21-66423,Property,Hayden Island,3/12/2021,0755,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.609840816,-122.673875065,3/12/2021,1
600 BLOCK OF N HAYDEN BAY DR,21-904324,Property,Hayden Island,3/4/2021,1235,Burglary,Burglary,45.609753453,-122.673852169,3/5/2021,1
600 BLOCK OF N RUSSELL ST,21-24244,Property,Eliot,1/27/2021,0204,Vandalism,Vandalism,45.540961413,-122.673040778,1/27/2021,1
600 BLOCK OF N RUSSELL ST,21-901879,Property,Eliot,1/27/2021,0203,Vandalism,Vandalism,45.540961413,-122.673040778,1/27/2021,1
600 BLOCK OF N SKIDMORE ST,21-904778,Property,Boise,3/10/2021,2300,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.554540979,-122.673119501,3/11/2021,1
600 BLOCK OF N TOMAHAWK ISLAND DR,21-25336,Property,Hayden Island,1/28/2021,0001,Larceny Offenses,Theft From Motor Vehicle,45.608839888,-122.674575490,1/28/2021,1
600 BLOCK OF N TOMAHAWK ISLAND DR,21-49933,Property,Hayden Island,2/24/2021,0558,Burglary,Burglary,45.608796697,-122.674683287,2/24/2021,1
600 BLOCK OF N WATTS ST,21-902772,Property,Piedmont,2/3/2021,0400,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.581329642,-122.672836994,2/9/2021,1
